order,location,tokens_total,tokens_scored,coverage,mean_val_base_scored,mean_val_afinn_scored,mean_val_bing_scored,mean_val_nrc_scored,rate_emo_trust_per1k,rate_emo_fear_per1k,rate_emo_sadness_per1k,rate_emo_anger_per1k,rate_emo_surprise_per1k,rate_emo_disgust_per1k,rate_emo_joy_per1k,rate_emo_anticipation_per1k,flag_low_coverage
1,London,5264,605,0.11493161094224924,0.17910743801652892,0.013223140495867768,0.12942148760330577,0.14330578512396694,26.21580547112462,13.677811550151976,12.348024316109422,11.588145896656535,10.25835866261398,7.788753799392097,15.19756838905775,18.237082066869302,TRUE
2,Suez/Aden,796,73,0.09170854271356783,0.10114155251141553,0.028767123287671233,-0.04794520547945205,0.10273972602739725,26.381909547738694,15.075376884422111,3.7688442211055277,2.512562814070352,13.819095477386934,5.025125628140704,17.587939698492463,32.663316582914575,TRUE
3,London,784,78,0.09948979591836735,0.07542735042735044,0.01794871794871795,-0.04487179487179487,0.11538461538461539,43.36734693877551,11.479591836734693,8.928571428571429,10.204081632653061,5.1020408163265305,2.5510204081632653,8.928571428571429,24.23469387755102,TRUE
4,Bombay,4902,537,0.10954712362301101,0.2341092489137182,0.03463687150837989,0.09739292364990688,0.19217877094972066,26.723786209710322,17.135862913096695,12.035903712770297,9.587923296613628,11.219910240718074,7.139942880456957,14.483884128926968,22.031823745410037,TRUE
5,London,1652,222,0.1343825665859564,0.16726726726726726,0.004324324324324324,0.023873873873873873,0.1527027027027027,31.476997578692494,18.765133171912833,21.791767554479417,15.13317191283293,15.13317191283293,12.711864406779661,14.527845036319613,18.765133171912833,TRUE
6,Bombay,1902,249,0.1309148264984227,0.04236947791164658,-0.044979919678714855,-0.05622489959839357,0.04618473895582329,34.70031545741325,27.86540483701367,23.65930599369085,14.721345951629864,11.566771819137749,10.515247108307046,14.195583596214512,15.772870662460567,TRUE
7,Calcutta,1687,186,0.11025489033787789,0.3090322580645161,0.07150537634408602,0.14301075268817204,0.26881720430107525,34.97332542975696,11.855364552459989,12.448132780082988,6.520450503852993,4.149377593360996,5.334914048606994,16.004742145820984,17.783046828689983,TRUE
8,Bombay,1330,156,0.11729323308270677,-0.1078846153846154,-0.08371794871794871,-0.10192307692307692,-0.07371794871794872,25.56390977443609,29.32330827067669,24.06015037593985,11.278195488721805,11.278195488721805,13.533834586466165,9.022556390977444,21.05263157894737,TRUE
9,Hong Kong,5430,635,0.11694290976058933,0.12108661417322834,0.019905511811023624,0.03385826771653543,0.12094488188976378,24.677716390423573,19.152854511970535,16.022099447513813,13.259668508287293,12.154696132596685,9.392265193370166,18.968692449355434,23.388581952117864,TRUE
10,Yokohama/Japan,5408,672,0.1242603550295858,0.13901289682539683,0.007083333333333335,0.0244047619047619,0.11681547619047619,25.88757396449704,19.600591715976332,18.67603550295858,12.57396449704142,11.464497041420119,10.170118343195266,15.162721893491124,22.189349112426036,TRUE
11,San Francisco,1634,154,0.09424724602203183,0.23614718614718616,0.025974025974025976,0.049350649350649346,0.2116883116883117,25.091799265605875,7.9559363525091795,12.851897184822521,7.343941248470013,12.239902080783354,3.6719706242350063,17.135862913096695,26.31578947368421,TRUE
12,Yokohama/Japan,1577,169,0.10716550412175016,0.181163708086785,0.03727810650887574,0.09822485207100592,0.12721893491124261,25.99873176918199,17.755231452124285,12.682308180088777,5.072923272035511,5.70703868103995,7.609384908053266,18.389346861128725,27.90107799619531,TRUE
13,San Francisco,3328,333,0.10006009615384616,0.18800800800800802,0.05315315315315315,0.056156156156156156,0.14804804804804805,17.127403846153847,15.92548076923077,11.71875,12.319711538461538,7.512019230769231,6.610576923076923,12.01923076923077,17.127403846153847,TRUE
14,Transit,1797,193,0.10740122426266,0.22642487046632126,0.02072538860103627,0.05699481865284974,0.25647668393782386,37.84084585420145,16.13800779076238,13.35559265442404,9.460211463550362,8.903728436282693,11.686143572621035,17.807456872565385,21.146355036171396,TRUE
15,Atlantic/Liverpool,1774,239,0.13472378804960541,0.19013947001394702,-0.009790794979079502,-0.04769874476987448,0.20251046025104602,35.51296505073281,23.675310033821873,14.656144306651635,13.528748590755356,11.837655016910936,9.019165727170236,15.219842164599774,20.293122886133034,TRUE
16,San Francisco,3506,423,0.12065031374786081,0.018865248226950352,-0.021229314420803783,-0.07257683215130023,0.07021276595744681,29.94865944095836,23.103251568739303,19.110096976611523,17.113519680547633,10.26811180832858,7.415858528237307,12.549914432401597,24.814603536794067,TRUE
17,New York,1707,172,0.10076157000585823,0.1972093023255814,0.04279069767441861,0.1063953488372093,0.1372093023255814,22.261277094317517,16.988869361452842,11.130638547158759,9.373169302870533,11.716461628588167,6.444053895723491,11.716461628588167,18.746338605741066,TRUE
18,Atlantic/Liverpool,2980,365,0.12248322147651007,0.20142465753424657,-0.0075068493150684925,0.05013698630136987,0.17671232876712328,21.140939597315437,16.778523489932887,18.456375838926174,16.107382550335572,9.395973154362416,8.053691275167786,13.758389261744966,24.161073825503355,TRUE
19,London,3616,404,0.11172566371681415,0.08103960396039604,-0.01826732673267327,0.011633663366336632,0.07227722772277227,22.95353982300885,21.01769911504425,17.146017699115045,15.210176991150442,10.785398230088495,8.019911504424778,17.97566371681416,24.336283185840706,TRUE
